"time", "token price", "dai2usdc", "usdc2dai"
1578978914, 1.001996, 0.997561, 1.001621
1578978974, 1.001996, 0.997561, 1.001621
1578979035, 1.001997, 0.997561, 1.001621
1578979096, 1.001997, 0.997561, 1.001621
1578979156, 1.001997, 0.997561, 1.001621
1578979217, 1.001997, 0.997561, 1.001621
1578979277, 1.001997, 0.997561, 1.001621
1578979338, 1.001997, 0.997561, 1.001621
1578979398, 1.001997, 0.997561, 1.001621
1578979459, 1.001997, 0.997561, 1.001621
1578979519, 1.001998, 0.997561, 1.001621
1578979580, 1.001998, 0.997561, 1.001621
1578979640, 1.001998, 0.997561, 1.001621
1578979701, 1.001998, 0.997561, 1.001621
1578979762, 1.001998, 0.997561, 1.001621
1578979822, 1.001998, 0.997561, 1.001621
1578979882, 1.001998, 0.997561, 1.001621
1578979943, 1.001998, 0.997561, 1.001621
1578980004, 1.001998, 0.997561, 1.001621
1578980064, 1.001999, 0.997561, 1.001621
1578980125, 1.001999, 0.997561, 1.001621
1578980185, 1.001999, 0.997561, 1.001621
1578980246, 1.001999, 0.997561, 1.001621
1578980306, 1.001999, 0.997561, 1.001621
1578980367, 1.001999, 0.997561, 1.001621
1578980427, 1.001999, 0.997561, 1.001621
1578980488, 1.001999, 0.997561, 1.001621
1578980548, 1.001999, 0.997561, 1.001621
1578980609, 1.001999, 0.997561, 1.001621
1578980669, 1.001999, 0.997561, 1.001621
1578980729, 1.002000, 0.997561, 1.001621
1578980790, 1.002000, 0.997561, 1.001621
1578980850, 1.002000, 0.997561, 1.001621
1578980911, 1.002000, 0.997561, 1.001621
1578980971, 1.002000, 0.997561, 1.001621
1578981032, 1.002000, 0.997561, 1.001621
1578981092, 1.002000, 0.997561, 1.001621
1578981153, 1.002000, 0.997561, 1.001621
1578981213, 1.002001, 0.997561, 1.001621
1578981274, 1.002001, 0.997561, 1.001621
1578981334, 1.002001, 0.997561, 1.001621
1578981394, 1.002001, 0.997561, 1.001621
1578981455, 1.002001, 0.997561, 1.001621
1578981515, 1.002001, 0.997561, 1.001621
1578981576, 1.002001, 0.997561, 1.001621
1578981636, 1.002001, 0.997561, 1.001621
1578981697, 1.002002, 0.997561, 1.001621
1578981757, 1.002002, 0.997561, 1.001621
1578981818, 1.002002, 0.997561, 1.001621
1578981878, 1.002002, 0.997561, 1.001621
1578981939, 1.002002, 0.997561, 1.001621
1578981999, 1.002002, 0.997561, 1.001621
1578982059, 1.002003, 0.997561, 1.001621
1578982120, 1.002003, 0.997561, 1.001621
1578982181, 1.002003, 0.997561, 1.001621
1578982241, 1.002003, 0.997561, 1.001621
1578982301, 1.002003, 0.997561, 1.001621
1578982362, 1.002003, 0.997561, 1.001621
1578982422, 1.002003, 0.997561, 1.001621
1578982483, 1.002003, 0.997561, 1.001621
1578982543, 1.002003, 0.997561, 1.001621
1578982604, 1.002003, 0.997561, 1.001621
1578982664, 1.002003, 0.997561, 1.001621
1578982725, 1.002003, 0.997561, 1.001621
1578982785, 1.002004, 0.997561, 1.001621
1578982846, 1.002004, 0.997561, 1.001621
1578982906, 1.002004, 0.997561, 1.001621
1578982967, 1.002004, 0.997561, 1.001621
1578983027, 1.002004, 0.997561, 1.001621
